,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Brooklyn,Female,"White, non-Hispanic",25-29 yr,"45,735"
Brooklyn,Female,"White, non-Hispanic",30-34 yr,"38,970"
Brooklyn,Female,"White, non-Hispanic",35-39 yr,"30,115"
Brooklyn,Female,"White, non-Hispanic",40-44 yr,"24,890"
Brooklyn,Female,"White, non-Hispanic",45-49 yr,"24,337"
Brooklyn,Female,"White, non-Hispanic",50-54 yr,"26,495"
Brooklyn,Female,"White, non-Hispanic",55-59 yr,"27,262"
Brooklyn,Female,"White, non-Hispanic",60-64 yr,"26,612"
Brooklyn,Female,"White, non-Hispanic",65-69 yr,"16,621"
Brooklyn,Female,"White, non-Hispanic",70-74 yr,"16,600"
Brooklyn,Female,"White, non-Hispanic",75-79 yr,"13,776"
Brooklyn,Female,"White, non-Hispanic",80-84 yr,"14,783"
Brooklyn,Female,"White, non-Hispanic",85+ yr,"17,416"
Brooklyn,Female,"Black, non-Hispanic",Less than 1,"4,829"
Brooklyn,Female,"Black, non-Hispanic",1-4 yr,"19,971"
Brooklyn,Female,"Black, non-Hispanic",5-9 yr,"24,782"
Brooklyn,Female,"Black, non-Hispanic",10-11 yr,"10,767"
Brooklyn,Female,"Black, non-Hispanic",12-14 yr,"16,685"
Brooklyn,Female,"Black, non-Hispanic",15-17 yr,"18,991"
Brooklyn,Female,"Black, non-Hispanic",18-19 yr,"12,842"
Brooklyn,Female,"Black, non-Hispanic",20-24 yr,"32,801"
Brooklyn,Female,"Black, non-Hispanic",25-29 yr,"33,275"
Brooklyn,Female,"Black, non-Hispanic",30-34 yr,"31,684"
Brooklyn,Female,"Black, non-Hispanic",35-39 yr,"30,967"
Brooklyn,Female,"Black, non-Hispanic",40-44 yr,"32,521"
Brooklyn,Female,"Black, non-Hispanic",45-49 yr,"34,746"
Brooklyn,Female,"Black, non-Hispanic",50-54 yr,"34,173"
Brooklyn,Female,"Black, non-Hispanic",55-59 yr,"28,774"
Brooklyn,Female,"Black, non-Hispanic",60-64 yr,"24,036"
Brooklyn,Female,"Black, non-Hispanic",65-69 yr,"18,591"
Brooklyn,Female,"Black, non-Hispanic",70-74 yr,"14,139"
Brooklyn,Female,"Black, non-Hispanic",75-79 yr,"10,020"
Brooklyn,Female,"Black, non-Hispanic",80-84 yr,"7,498"
Brooklyn,Female,"Black, non-Hispanic",85+ yr,"6,933"
Brooklyn,Female,Hispanic,Less than 1,"4,031"
Brooklyn,Female,Hispanic,1-4 yr,"15,581"
Brooklyn,Female,Hispanic,5-9 yr,"17,860"
Brooklyn,Female,Hispanic,10-11 yr,"7,014"
Brooklyn,Female,Hispanic,12-14 yr,"10,625"
Brooklyn,Female,Hispanic,15-17 yr,"11,516"
Brooklyn,Female,Hispanic,18-19 yr,"7,960"
Brooklyn,Female,Hispanic,20-24 yr,"20,561"
Brooklyn,Female,Hispanic,25-29 yr,"22,042"
Brooklyn,Female,Hispanic,30-34 yr,"20,399"
Brooklyn,Female,Hispanic,35-39 yr,"18,335"
Brooklyn,Female,Hispanic,40-44 yr,"17,479"
Brooklyn,Female,Hispanic,45-49 yr,"16,588"
Brooklyn,Female,Hispanic,50-54 yr,"14,908"
Brooklyn,Female,Hispanic,55-59 yr,"12,799"
Brooklyn,Female,Hispanic,60-64 yr,"11,120"
Brooklyn,Female,Hispanic,65-69 yr,"8,050"
Brooklyn,Female,Hispanic,70-74 yr,"6,229"
Brooklyn,Female,Hispanic,75-79 yr,"4,563"
Brooklyn,Female,Hispanic,80-84 yr,"3,037"
Brooklyn,Female,Hispanic,85+ yr,"2,581"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",Less than 1,"1,537"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",1-4 yr,"6,088"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",5-9 yr,"7,632"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",10-11 yr,"2,955"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",12-14 yr,"4,717"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",15-17 yr,"4,913"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",18-19 yr,"3,400"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",20-24 yr,"10,383"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",25-29 yr,"12,745"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",30-34 yr,"12,034"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",35-39 yr,"11,276"
Brooklyn,Female,"Asian/Pacific Islander, non-Hispanic",40-44 yr,"9,861"
